favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
95207,Twitter for iPhone,"....No Obstruction. The Dems were devastated - after all this time and money spent ($40,000,000), the Mueller Repor… https://t.co/hDGKholo8c",realDonaldTrump,False,Sun Jun 09 22:50:57 +0000 2019,20056,1137854625472765952
115247,Twitter for iPhone,"The Kate Steinle killer came back and back over the weakly protected Obama border, always committing crimes and bei… https://t.co/5EjQfmTqYg",,False,Fri Dec 01 11:03:35 +0000 2017,29701,936551346299338752
102909,Twitter for iPhone,DEMOCRATS WANT TO STEAL THE ELECTION! #KAG2020 https://t.co/hz6fWLId3L,,False,Wed Oct 02 23:41:51 +0000 2019,39327,1179542037479202816
111324,Twitter for iPhone,The long anticipated release of the #JFKFiles will take place tomorrow. So interesting!,,False,Wed Oct 25 19:56:39 +0000 2017,28839,923277142271684609
86401,Twitter for iPhone,"Our first duty, and our highest loyalty, is to the citizens of the United States. We will not rest until our border… https://t.co/Xq0o3yW8dv",,False,Fri Jun 22 20:23:33 +0000 2018,21776,1010257002478620673
41076,Twitter for iPhone,https://t.co/6ZG0P6FRs5,,False,Thu Aug 23 16:02:32 +0000 2018,9022,1032659364249784320
73768,Twitter for iPhone,....I would suggest you read the COMPLETE testimony from Tuesday. A false narrative is so bad for our Country. I va… https://t.co/uWB8t913qQ,realDonaldTrump,False,Thu Jan 31 21:40:02 +0000 2019,15898,1091088745191874562
88433,Twitter for iPhone,70 Record Closes for the Dow so far this year! We have NEVER had 70 Dow Records in a one year period. Wow!,,False,Mon Dec 18 22:25:20 +0000 2017,18576,942883507868782592
88972,Twitter for iPhone,Been fully briefed on earthquake in Southern California. All seems to be very much under control!,,False,Thu Jul 04 19:24:13 +0000 2019,13144,1146862295466819585
53774,Twitter for iPhone,"The super Liberal Democrat in the Georgia Congressioal race tomorrow wants to protect criminals, allow illegal immigration and raise taxes!",,False,Mon Apr 17 13:31:03 +0000 2017,16575,853964023846588420
66542,Twitter for iPhone,"....As usual, Powell let us down, but at least he is ending quantitative tightening, which shouldn’t have started i… https://t.co/knw2FP0Eni",realDonaldTrump,False,Wed Jul 31 20:41:18 +0000 2019,14030,1156666164732473345
80743,Twitter for iPhone,Great meeting with CEOs of leading U.S. health insurance companies who provide great healthcare to the American peo… https://t.co/60jigi6ffS,,False,Mon Feb 27 17:06:23 +0000 2017,13418,836261209540288513
34929,Twitter for iPhone,Healthcare listening session w/ @VP &amp; @SecPriceMD. Watch: https://t.co/5ayQ4dr8Ip #ReadTheBill:… https://t.co/1cQI0ZBUv8,,False,Mon Mar 13 17:20:15 +0000 2017,5909,841338126316511233
56225,Twitter for iPhone,“How many stories are wrong? Almost all of the stories the New York Times has done are inaccurate and wrong.”… https://t.co/aAIS7hqBuq,,False,Mon Sep 16 21:13:04 +0000 2019,14444,1173706388960239616
50972,Twitter for Android,No wonder the Today Show on biased @NBC is doing so badly compared to its glorious past. Little credibility!,,False,Wed Jan 18 13:06:58 +0000 2017,9162,821705440178348033
84430,Twitter for iPhone,"....of gang members, in particular MS-13. ICE and Border Patrol are doing a great job!",realDonaldTrump,False,Thu Jul 18 15:10:21 +0000 2019,15562,1151871836541607936
62102,Twitter for iPhone,"The United States needs the security of the Wall on the Southern Border, which must be part of any DACA approval. T… https://t.co/1BWcwPlyu2",,False,Wed Jan 10 23:07:48 +0000 2018,13343,951229113897013248
90837,Twitter for iPhone,"So cute! Her father is under siege, for no reason, since his first day in office! https://t.co/8wtB3H4fth",,False,Thu Sep 26 11:06:50 +0000 2019,15674,1177177706729017344
54007,Twitter for iPhone,"....Instead it turned North and went up the coast, where it continues now. In the one model through Florida, the Gr… https://t.co/OvkyDRpGEr",realDonaldTrump,False,Thu Sep 05 11:48:56 +0000 2019,9585,1169578155948072962
119304,Twitter for iPhone,"Think what it would be without the 3 year Witch Hunt and Fake News Media, in partnership with the Democrats! https://t.co/KBtl7wde0F",,False,Sun Jul 14 18:31:00 +0000 2019,27475,1150472779596226561
103884,Twitter for iPhone,“Mainstream Media tries to rewrite history to credit Obama for Trump accomplishments. Since President Trump took of… https://t.co/nyT88ohhGh,,False,Sun Aug 26 22:01:33 +0000 2018,26429,1033836873473568768
116483,Twitter for iPhone,“I am so tired of hearing the rationalization of the Left in the country because they hate Donald Trump. Inexplicab… https://t.co/k3eERVIoKk,,False,Wed Sep 04 01:04:24 +0000 2019,27689,1169053562904678405
81528,Twitter for iPhone,The reason for the China pullback &amp; attempted renegotiation of the Trade Deal is the sincere HOPE that they will be… https://t.co/DmsxVMNu4s,,False,Wed May 08 12:48:15 +0000 2019,19493,1126106540015071232
126959,Twitter for iPhone,"Alec Baldwin, whose dying mediocre career was saved by his terrible impersonation of me on SNL, now says playing me… https://t.co/Ntuy4BRXmJ",,False,Fri Mar 02 11:07:40 +0000 2018,24140,969529668234829825
32780,Twitter for iPhone,A Giant Scam! https://t.co/Go4TffoEaq,,False,Fri Oct 11 15:40:00 +0000 2019,9428,1182682269804310529
160738,Twitter for iPhone,"When a car is sent to the United States from China, there is a Tariff to be paid of 2 1/2%. When a car is sent to C… https://t.co/lKzX2101uS",,False,Mon Apr 09 10:03:16 +0000 2018,40739,983284198046826496
89563,Twitter for iPhone,“The record is quite remarkable. The President has faithfully followed the agenda he campaigned on in 2016. People… https://t.co/hzknPJ8SVE,,False,Thu Sep 06 14:09:32 +0000 2018,22326,1037704356861276160
100399,Twitter for iPhone,James Comey’s behind closed doors testimony reveals that “there was not evidence of Campaign Collusion” with Russia… https://t.co/ab8xMGfa8d,,False,Tue Dec 11 02:11:21 +0000 2018,24427,1072312854307581953
87517,Twitter for iPhone,Can’t wait to see you all soon! https://t.co/KKAw4hqqx5,,False,Tue May 28 00:36:35 +0000 2019,18572,1133170167641460736
95486,Twitter for iPhone,My first order as President was to renovate and modernize our nuclear arsenal. It is now far stronger and more powerful than ever before....,,False,Wed Aug 09 11:56:33 +0000 2017,21867,895252459152711680
63565,Twitter for iPhone,Congratulations to Louisiana’s Champions. See you at the White House! https://t.co/Qadi7uD5U4,,False,Sun Aug 25 23:40:18 +0000 2019,12538,1165770908767621120
47650,Twitter for iPhone,"....our manufacturers. We should have lower interest rates than Germany, Japan and all others. We are now, by far,… https://t.co/WGlLKZqYo4",realDonaldTrump,False,Thu Oct 31 14:37:45 +0000 2019,11996,1189914359310553088
50131,Twitter for iPhone,Thank you! https://t.co/hlz48RLkIf,,False,Fri Sep 22 10:30:06 +0000 2017,9223,911175765718421504
61961,Twitter for iPhone,MAKE AMERICA GREAT AGAIN! https://t.co/RPOYiqsHHH,,False,Fri Sep 07 02:38:26 +0000 2018,15279,1037892820126683136
96517,Twitter for iPhone,There is no political necessity to keep Canada in the new NAFTA deal. If we don’t make a fair deal for the U.S. aft… https://t.co/qq2QPg1bma,,False,Sat Sep 01 15:03:28 +0000 2018,22618,1035905988682018816
102339,Twitter for iPhone,REMEMBER THE MIDTERMS!,,False,Tue Sep 25 02:38:39 +0000 2018,27359,1044415858465001472
96350,Twitter for iPhone,Happy 243rd Birthday to our GREAT U.S. Marine Corps🇺🇸 https://t.co/1cPtoMfmxP,,False,Sat Nov 10 14:09:42 +0000 2018,21270,1061259607086112769
25101,Twitter for iPhone,"Presidential Memorandum for the @CommerceGov, @SecretaryRoss re: Aluminum Imports and Threats to National Security:… https://t.co/GnKoVz9GTO",,False,Thu Apr 27 21:42:47 +0000 2017,5169,857711651952500737
8204,Twitter for iPhone,@ThePlumLineGS MAKE AMERICA GREAT AGAIN!,ThePlumLineGS,False,Thu Nov 23 11:31:09 +0000 2017,3211,933659179348299776
105001,Twitter for iPhone,"The Stock Market is up massively since the Election, but is now taking a little pause - people want to see what hap… https://t.co/2B90NYNyxx",,False,Tue Oct 30 12:33:39 +0000 2018,27175,1057249169507803137
50528,Twitter for iPad,"Congratulations to the Houston @Astros, 2017 #WorldSeries Champions⚾️#HoustonStrong #EarnHistory https://t.co/BP7OEzdhFi",,False,Thu Nov 02 17:31:32 +0000 2017,9861,926139726129704960
63550,Twitter for iPhone,"Such a beautiful map, thank you! https://t.co/FyQdgKvsRO",,False,Wed Feb 28 04:20:43 +0000 2018,14317,968702480753315840
110978,Twitter for iPhone,"The crowds at my Rallies are far bigger than they have ever been before, including the 2016 election. Never an empt… https://t.co/lZC4uzQyk7",,False,Mon Oct 15 12:11:29 +0000 2018,26000,1051807774894624768
105499,Twitter for iPhone,"“I don’t know what it’s going to take. A lot of Democratic run cities all over America look like this, it’s not jus… https://t.co/xd96b3Fp02",,False,Tue Jul 30 02:46:03 +0000 2019,24681,1156033183697080320
104089,Twitter for iPhone,I have informed @GOPLeader Kevin McCarthy and all Republicans in the House that I fully support transparency on so-… https://t.co/eE80zyDtdm,,False,Wed Sep 25 20:17:32 +0000 2019,26345,1176953905143590912
74398,Twitter for iPhone,Thank you to Brit. This is a very big deal in Europe. Fake News is the Enemy of the People! https://t.co/WX0o8gaiMC,,False,Sun Jan 27 15:27:29 +0000 2019,17843,1089545436220850177
132507,Twitter for iPhone,My lawyers should sue the Democrats and Shifty Adam Schiff for fraud!,,False,Fri Oct 25 23:33:42 +0000 2019,26047,1187874908660998144
60852,Twitter for iPhone,"Is he leaving due to bad ratings, or some other less important reason? https://t.co/XBr7xVgarc",,False,Sat Oct 12 02:17:17 +0000 2019,12793,1182842647041298432
102876,Twitter for iPhone,"....I don’t want to Win for myself, I only want to Win for the people. The New @FoxNews is letting millions of GREA… https://t.co/UANHkvOoRu",,False,Wed Aug 28 14:03:36 +0000 2019,25970,1166712943196680193
47942,Twitter for iPhone,"...that FEMA, our Military, and our First Responders, who are all unbelievable, are a disaster and not doing a good… https://t.co/zuDaVIFTJH",realDonaldTrump,False,Tue Sep 18 15:50:57 +0000 2018,9639,1042078530413240320
157941,Twitter for iPhone,"BUILD A WALL &amp; CRIME WILL FALL! This is the new theme, for two years until the Wall is finished (under construction… https://t.co/jsvM7NUEYf",,False,Wed Jan 23 12:57:29 +0000 2019,35928,1088058134713823233
91276,Twitter Media Studio,First responders have been doing heroic work. Their courage &amp; devotion has saved countless lives – they represent t… https://t.co/Va37wntt1g,,False,Thu Aug 31 01:00:50 +0000 2017,19844,903059975437733888
51194,Twitter for iPhone,"New York, get out and VOTE for @JohnFasoNy, a great and hardworking Congressman. We need John’s voice in D.C. His o… https://t.co/AGPHFv8TwH",,False,Sat Nov 03 16:48:27 +0000 2018,13583,1058762842629984256
80277,Twitter for iPhone,"Mitch McConnell announced he will cancel the Senate’s August Recess. Great, maybe the Democrats will finally get so… https://t.co/KYTueRpKHp",,False,Wed Jun 06 04:02:00 +0000 2018,17202,1004211778837012481
54251,Twitter for iPhone,"The meeting with Republican Senators yesterday, outside of Flake and Corker, was a love fest with standing ovations and great ideas for USA!",,False,Wed Oct 25 11:30:36 +0000 2017,10326,923149793974775810
83366,Twitter for iPhone,"“This isn’t some game. You are screwing with the work of the president of the United States.”  John Dowd, March 201… https://t.co/UGJyw435dJ",,False,Wed May 02 22:40:23 +0000 2018,20088,991809653980966913
106189,Twitter for iPhone,"Beautiful #MAGARally tonight in Grand Rapids, Michigan - thank you, I love you! MAKE AMERICA GREAT AGAIN!! https://t.co/3xlMOaaTR5",,False,Fri Mar 29 01:16:18 +0000 2019,23228,1111436887942561792
69055,Twitter for iPhone,"Leader McCarthy, we look forward to you soon becoming Speaker of the House. The Do Nothing Dems don’t have a chance! https://t.co/uWPdGJg99F",,False,Thu Oct 03 17:04:36 +0000 2019,21300,1179804457112129537
59316,Twitter for iPhone,"Good luck to Ric Grenell, our new Ambassador to Germany. A great and talented guy, he will represent our Country well!",,False,Mon May 07 13:05:44 +0000 2018,10302,993476979893723137
124616,Twitter for iPhone,The top Leadership and Investigators of the FBI and the Justice Department have politicized the sacred investigativ… https://t.co/xXWIyOvhi0,,False,Fri Feb 02 11:33:58 +0000 2018,34264,959389424806191104
151668,Twitter for iPhone,America First!,,False,Mon Oct 14 17:26:24 +0000 2019,29656,1183796209942695938
41913,Twitter for iPhone,The Do Nothing Democrats don’t have time to get it done! https://t.co/2cwyMtT3Gu,,False,Fri Oct 04 01:22:20 +0000 2019,11489,1179929713197883393
79552,Twitter for iPhone,"Tariffs are working far better than anyone ever anticipated. China market has dropped 27% in last 4months, and they… https://t.co/oQ4zRozeHZ",,False,Sat Aug 04 19:47:40 +0000 2018,17647,1025830647649247232
119019,Twitter for iPhone,"Our military is being mobilized at the Southern Border. Many more troops coming. We will NOT let these Caravans, wh… https://t.co/tVJx5Jw5kQ",,False,Wed Oct 31 12:45:36 +0000 2018,29750,1057614564639019009
48373,Twitter for Android,Interview with David Muir of @ABC News in 10 minutes. Enjoy!,,False,Thu Jan 26 02:48:25 +0000 2017,5668,824448880993509376
67560,Twitter for iPhone,"Congratulations to Gary Woodland in winning the United States Open Golf Championship. Fantastic playing, great hear… https://t.co/aOIWxyO1fB",,False,Mon Jun 17 01:48:26 +0000 2019,9320,1140436006472245248
57027,Twitter for iPhone,"The recent Kansas election (Congress) was a really big media event, until the Republicans won. Now they play the same game with Georgia-BAD!",,False,Mon Apr 17 00:45:01 +0000 2017,11037,853771244579282944
82820,Twitter for iPhone,"South Korea is finding, as I have told them, that their talk of appeasement with North Korea will not work, they only understand one thing!",,False,Sun Sep 03 11:46:07 +0000 2017,21605,904309527381716992
99433,Twitter for iPhone,"More troops being sent to the Southern Border to stop the attempted Invasion of Illegals, through large Caravans, i… https://t.co/IouO71eEQ4",,False,Thu Jan 31 14:52:17 +0000 2019,22795,1090986128805687296
83516,Twitter for iPhone,"Since Election Day on November 8, the Stock Market is up more than 25%, unemployment is at a 17 year low &amp; companies are coming back to U.S.",,False,Mon Oct 16 12:54:49 +0000 2017,17210,919909494200528897
145711,Twitter for iPhone,There is nothing we can ever give to the Democrats that will make them happy. This is the highest level of Presiden… https://t.co/OfWBGuPQPk,,False,Thu Apr 04 12:46:27 +0000 2019,31663,1113784899847249921
43861,Twitter for iPhone,"...differences, they will be resolved in time by President Trump and China’s great President Xi Jinping. Their rela… https://t.co/9uOQkJg6PG",realDonaldTrump,False,Wed Aug 29 21:23:10 +0000 2018,9453,1034914379391807488
86285,Twitter for iPhone,"Being scolded by failed former “Intelligence” officials, like James Clapper, on my condolences to Iran on their fai… https://t.co/nmmbwzhBsX",,False,Sat Aug 31 19:06:26 +0000 2019,18702,1167876317745860608
54222,Twitter for iPhone,"Heading to Alabama now, big crowd!",,False,Fri Sep 22 21:18:37 +0000 2017,6858,911338971250216960
