DATE,Instr,Open,High,Low,Last,Sett,CHG,Vol,P_set,P_vol,P_OI
2019-07-02,DEC19,15419.0,15509.0,15413.0,15509.0,15509,103.0,11.0,15406,34.0,104.0
2019-07-02,MAR20,,,,,15409,103.0,,15306,,
2019-07-18,SEP19,15500.0,15505.0,15408.0,15503.0,15431,7.0,263731.0,15424,234527.0,924615.0
2019-07-18,DEC19,15410.0,15411.0,15316.0,15411.0,15407,8.0,4445.0,15331,12.0,170.0
2019-07-18,MAR20,,,,,15307,8.0,,15231,,
2019-07-19,SEP19,15503.0,15506.0,15417.0,15421.0,15424,7.0,229596.0,15431,308851.0,922100.0
2019-07-19,DEC19,15400.0,15413.0,15325.0,15328.0,15400,7.0,4646.0,15407,5237.0,5055.0
2019-07-19,MAR20,,,,,15300,7.0,,15307,,
2019-07-22,SEP19,,15511.0,15416.0,15427.0,15430,6.0,171831.0,15424,232186.0,918383.0
2019-07-22,DEC19,15328.0,15418.0,15323.0,15402.0,15406,6.0,566.0,15400,4777.0,9368.0
2019-07-22,MAR20,,,,,15306,6.0,,15300,,
2019-07-23,SEP19,15428.0,15431.0,15401.0,15403.0,15409,21.0,229625.0,15430,174829.0,920700.0
2019-07-23,DEC19,15400.0,15405.0,15310.0,15310.0,15317,21.0,554.0,15406,582.0,9894.0
2019-07-23,MAR20,,,,,15217,21.0,,15306,,
2019-07-24,SEP19,15400.0,15430.0,15400.0,15429.0,15426,17.0,233229.0,15409,239577.0,922089.0
2019-07-24,DEC19,15327.0,15405.0,15309.0,15404.0,15402,17.0,234.0,15317,569.0,10404.0
2019-07-24,MAR20,,,,,15302,17.0,,15217,,
2019-07-25,SEP19,15429.0,15518.0,15323.0,15406.0,15410,16.0,362324.0,15426,238326.0,923749.0
2019-07-25,DEC19,15404.0,15425.0,15300.0,15313.0,15318,16.0,69.0,15402,234.0,10595.0
2019-07-25,MAR20,,,,,15218,16.0,,15302,,
2019-07-26,SEP19,15408.0,15425.0,15400.0,15416.0,15411,1.0,211746.0,15410,368293.0,923471.0
2019-07-26,DEC19,15322.0,15331.0,15309.0,15323.0,15319,1.0,26.0,15318,113.0,10608.0
2019-07-26,MAR20,,,,,15219,1.0,,15218,,
2019-07-29,SEP19,,15431.0,,15419.0,15425,14.0,175044.0,15411,219813.0,919789.0
2019-07-29,DEC19,15327.0,15405.0,15324.0,15326.0,15401,14.0,35.0,15319,125.0,10614.0
2019-07-29,MAR20,,,,,15301,14.0,,15219,,
2019-07-30,SEP19,15420.0,15503.0,15414.0,15424.0,15420,5.0,198423.0,15425,181171.0,920818.0
2019-07-30,DEC19,15329.0,15410.0,15322.0,15331.0,15328,5.0,22.0,15401,180.0,10723.0
2019-07-30,MAR20,,,,,15228,5.0,,15301,,
2019-07-31,SEP19,15423.0,15529.0,15420.0,15522.0,15519,31.0,418102.0,15420,202884.0,922358.0
2019-07-31,DEC19,15403.0,15504.0,15327.0,15430.0,15427,31.0,2877.0,15328,67.0,10737.0
2019-07-31,MAR20,,,,,15327,31.0,,15228,,
2019-08-01,SEP19,15521.0,15804.0,15431.0,15721.0,15722,203.0,582829.0,15519,425081.0,926073.0
2019-08-01,DEC19,15422.0,15711.0,15407.0,15628.0,15629,202.0,1903.0,15427,2886.0,13049.0
2019-08-01,MAR20,,,,,15529,202.0,,15327,,
2019-08-05,SEP19,15821.0,16111.0,15817.0,16110.0,16023,204.0,483271.0,15819,494145.0,941402.0
2019-08-05,DEC19,15728.0,16016.0,15725.0,16016.0,15929,203.0,7040.0,15726,2092.0,15552.0
2019-08-05,MAR20,,,,,15829,203.0,,15626,,
2019-08-06,SEP19,16117.0,16131.0,16001.0,16123.0,16100,9.0,474111.0,16023,494822.0,954048.0
2019-08-06,DEC19,16022.0,16104.0,15907.0,16029.0,16006,9.0,1204.0,15929,7871.0,20127.0
2019-08-06,MAR20,,,,,15906,9.0,,15829,,
2019-08-07,SEP19,16122.0,16331.0,16105.0,16106.0,16207,107.0,703572.0,16100,497148.0,955378.0
2019-08-07,DEC19,16028.0,16303.0,16011.0,16011.0,16112,106.0,3752.0,16006,1416.0,19592.0
2019-08-07,MAR20,,,,,16012,106.0,,15906,,
2019-08-08,SEP19,16105.0,16126.0,15923.0,16117.0,16118,21.0,485946.0,16207,719504.0,971576.0
2019-08-08,DEC19,16016.0,16029.0,15831.0,16022.0,16023,21.0,4755.0,16112,5697.0,19076.0
2019-08-08,MAR20,,,,,15923,21.0,,16012,,
2019-08-09,SEP19,16125.0,16214.0,16101.0,16102.0,16109,9.0,325559.0,16118,500524.0,971823.0
2019-08-09,DEC19,16031.0,16119.0,16008.0,16009.0,16015,8.0,5891.0,16023,5984.0,20546.0
2019-08-09,MAR20,,,,,15915,8.0,,15923,,
2019-08-12,SEP19,16111.0,16321.0,16105.0,16309.0,16314,205.0,254623.0,16109,337935.0,970744.0
2019-08-12,DEC19,,16226.0,16012.0,16215.0,16220,205.0,1682.0,16015,7170.0,20858.0
2019-08-12,MAR20,,,,,16120,205.0,,15915,,
2019-08-13,SEP19,16307.0,16330.0,16205.0,16213.0,16230,16.0,496763.0,16314,273694.0,979498.0
2019-08-13,DEC19,16210.0,16304.0,16111.0,16120.0,16204,16.0,6908.0,16220,3413.0,20651.0
2019-08-13,MAR20,,,,,16104,16.0,,16120,,
2019-08-14,SEP19,16217.0,16507.0,16215.0,16431.0,16429,131.0,464703.0,16230,512070.0,974993.0
2019-08-14,DEC19,16123.0,16414.0,16123.0,16406.0,16404,200.0,3177.0,16204,8381.0,23947.0
2019-08-14,MAR20,,,,,16304,200.0,,16104,,
2019-08-15,SEP19,16426.0,16630.0,16417.0,16527.0,16523,26.0,620373.0,16429,479003.0,971228.0
2019-08-15,DEC19,16400.0,16604.0,16324.0,16500.0,16430,26.0,14049.0,16404,4897.0,25090.0
2019-08-15,MAR20,,,,,16330,26.0,,16304,,
2019-08-16,SEP19,16523.0,16606.0,16409.0,16431.0,16518,5.0,358442.0,16523,632107.0,965929.0
2019-08-16,DEC19,16430.0,16511.0,16315.0,16404.0,16424,6.0,7118.0,16430,16770.0,30999.0
2019-08-16,MAR20,,,,,16324,6.0,,16330,,
2019-08-19,SEP19,16501.0,16502.0,16312.0,16404.0,16408,110.0,375168.0,16518,367988.0,960700.0
2019-08-19,DEC19,,,16219.0,16310.0,16314,110.0,52926.0,16424,8483.0,34241.0
2019-08-19,MAR20,,,,,16214,110.0,,16324,,
2019-08-20,SEP19,16405.0,16513.0,16404.0,16505.0,16500,24.0,268402.0,16408,388438.0,948144.0
2019-08-20,DEC19,16317.0,16420.0,16312.0,16412.0,16406,24.0,5716.0,16314,55142.0,72009.0
2019-08-20,MAR20,,16312.0,,16312.0,16306,24.0,,16214,,
